taille;tempsMachine;TempsUser;TempSys
1043;686;0;0
1044;924;0;0
1045;554;0;0
1046;596;0;0
1047;390;0;0
1048;537;0;0
1049;791;0;0
1050;419;0;0
1051;305;0;0
1052;659;0;0
1053;335;0;0
1054;305;0;0
1055;298;0;0
1056;557;0;0
1057;742;0;0
1058;514;0;0
1059;460;0;0
1060;484;0;0
1061;571;0;0
1062;786;0;0
1063;429;0;0
1064;761;0;0
1065;384;0;0
1066;554;0;0
1067;483;0;0
1068;498;0;0
1069;449;0;0
1070;863;0;0
1071;499;0;0
1072;345;0;0
1073;374;0;0
1074;448;0;0
1075;487;0;0
1076;949;0;0
1077;471;0;0
1078;591;0;0
1079;574;0;0
1080;342;0;0
1081;593;0;0
1082;499;0;0
1083;344;0;0
1084;633;0;0
1085;349;0;0
1086;739;0;0
1087;595;0;0
1088;378;0;0
1089;550;0;0
1090;695;0;0
1091;633;0;0
1092;1004;0;0
1093;395;0;0
1094;469;0;0
1095;431;0;0
1096;541;0;0
1097;481;0;0
1098;636;0;0
1099;549;0;0
1100;276;0;0
1101;565;0;0
1102;723;0;0
1103;457;0;0
1104;330;0;0
1105;464;0;0
1106;572;0;0
1107;497;0;0
1108;550;0;0
1109;410;0;0
1110;261;0;0
1111;362;0;0
1112;743;0;0
1113;409;0;0
1114;584;0;0
1115;318;0;0
1116;791;0;0
1117;679;0;0
1118;470;0;0
1119;378;0;0
1120;759;0;0
1121;392;0;0
1122;333;0;0
1123;529;0;0
1124;668;0;0
1125;545;0;0
1126;485;0;0
1127;733;0;0
1128;426;0;0
1129;441;0;0
1130;484;0;0
1131;743;0;0
1132;777;0;0
1133;410;0;0
1134;327;0;0
1135;559;0;0
1136;502;0;0
1137;505;0;0
1138;414;0;0
1139;667;0;0
1140;285;0;0
1141;651;0;0
1142;539;0;0
1143;354;0;0
1144;367;0;0
1145;259;0;0
1146;514;0;0
1147;580;0;0
